62

Length    Width
15        14
13        10
16        14
20        13
16        13
21        14
19        17
19        14
21        21
20        17
13        11
14        12
19        18
21        17
21        20
21        7
20        19
16        9
17        11
16        15
14        10
19        16
20        15
18        9
18        14
14        14
16        11
12        12
17        13
13        10
14        13
17        8
21        19
21        10
15        10
12        9
21        17
16        9
18        14
15        9
17        12
17        12
11        9
20        8
21        17
20        13
19        10
20        14
18        10
13        8
18        11
16        10
20        10
19        19
21        11
20        7
11        7
17        11
21        11
13        7
21        10
0         0
