30

Area      Aspect_Ratio_LB Aspect_Ratio_UB
24        1         0.8
16        1.15      0.75
36        1.85      0.6
8         1.1       0.3
21        1.18      0.9
17.5      1         0.5
3.6       1.4       0.3
15.4      1.25      0.6
20        1         0.9
19.5      1.8       1.2
16        1.1       0.85
9         1         0.9
9         1.1       0.8
25        1.05      0.92
4         1.15      0.85
3         1         0.9
4         1         1
9         1         1
4.5       1.1       0.7
5         1.5       0.5
16        1.1       0.85
9         1         0.9
9         1.1       0.8
25        1.05      0.92
4         1.15      0.85
3         1         0.9
4         1         1
9         1         1
4.5       1         0.7
5         1.5       0.5
